campus,program_id,program_name,place_type,filename,url
Москва,36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Budget,36634446891_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634446891_Budget.xlsx
Москва,36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Commercial,36634446891_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634446891_Commercial.xlsx
Москва,36633480989,Математика,Budget,36633480989_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36633480989_Budget.xlsx
Москва,36633480989,Математика,Commercial,36633480989_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36633480989_Commercial.xlsx
Москва,36634109304,Математика машинного обучения,Budget,36634109304_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634109304_Budget.xlsx
Москва,36634109304,Математика машинного обучения,Commercial,36634109304_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634109304_Commercial.xlsx
Москва,36634122630,Машинное обучение в цифровом продукте,Commercial,36634122630_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634122630_Commercial.xlsx
Москва,36635024428,Медиаменеджмент,Budget,36635024428_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635024428_Budget.xlsx
Москва,36635024428,Медиаменеджмент,Commercial,36635024428_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635024428_Commercial.xlsx
Москва,36634441416,Международная торговая политика,Budget,36634441416_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634441416_Budget.xlsx
Москва,36634441416,Международная торговая политика,Commercial,36634441416_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634441416_Commercial.xlsx
Москва,36634768707,Международные отношения: европейские и азиатские исследования,Budget,36634768707_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634768707_Budget.xlsx
Москва,36634768707,Международные отношения: европейские и азиатские исследования,Commercial,36634768707_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634768707_Commercial.xlsx
Москва,36634448375,Международный бизнес,Commercial,36634448375_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634448375_Commercial.xlsx
Москва,36634813694,Международный корпоративный комплаенс и этика бизнеса,Commercial,36634813694_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634813694_Commercial.xlsx
Москва,36634452450,Международный менеджмент,Budget,36634452450_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634452450_Budget.xlsx
Москва,36634452450,Международный менеджмент,Commercial,36634452450_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634452450_Commercial.xlsx
Москва,36957165108,"Международный спортивный менеджмент, маркетинг и право",Commercial,36957165108_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36957165108_Commercial.xlsx
Москва,36634477214,"Международный спортивный менеджмент, маркетинг и право",Commercial,36634477214_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634477214_Commercial.xlsx
Москва,36634442995,Мировая экономика,Budget,36634442995_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634442995_Budget.xlsx
Москва,36634442995,Мировая экономика,Commercial,36634442995_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634442995_Commercial.xlsx
Москва,36913199560,Мода,Commercial,36913199560_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36913199560_Commercial.xlsx
Москва,36634744291,Население и развитие,Budget,36634744291_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634744291_Budget.xlsx
Москва,36634744291,Население и развитие,Commercial,36634744291_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634744291_Commercial.xlsx
Москва,36634107416,Науки о данных,Budget,36634107416_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634107416_Budget.xlsx
Москва,36634107416,Науки о данных,Commercial,36634107416_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634107416_Commercial.xlsx
Москва,36923571101,Нейробиология,Budget,36923571101_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923571101_Budget.xlsx
Москва,36923571101,Нейробиология,Commercial,36923571101_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923571101_Commercial.xlsx
Москва,36635147849,Обучение и оценивание как наука,Budget,36635147849_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635147849_Budget.xlsx
Москва,36635147849,Обучение и оценивание как наука,Commercial,36635147849_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635147849_Commercial.xlsx
Москва,36634743633,Операционная эффективность и производственные системы,Budget,36634743633_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634743633_Budget.xlsx
Москва,36634743633,Операционная эффективность и производственные системы,Commercial,36634743633_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634743633_Commercial.xlsx
Москва,36635027515,Педагогический дизайн: теория и практика обучения,Commercial,36635027515_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635027515_Commercial.xlsx
Москва,36635022403,Педагогическое образование,Budget,36635022403_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635022403_Budget.xlsx
Москва,36635022403,Педагогическое образование,Commercial,36635022403_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635022403_Commercial.xlsx
Москва,36634212235,Персонология. Консультативная психология и психотерапия,Budget,36634212235_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634212235_Budget.xlsx
Москва,36634212235,Персонология. Консультативная психология и психотерапия,Commercial,36634212235_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634212235_Commercial.xlsx
Москва,36634210831,Позитивная психология,Budget,36634210831_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634210831_Budget.xlsx
Москва,36634210831,Позитивная психология,Commercial,36634210831_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634210831_Commercial.xlsx
Москва,36634870561,Политика. Экономика. Философия,Budget,36634870561_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634870561_Budget.xlsx
