program_id,program_name,campus,n_applications_budget,n_serious_budget,n_applications_commercial,n_serious_commercial,n_unique_applicants_total,n_applications_total,budget_places,commercial_places,competition_ratio_budget,demand_pressure_budget,no_budget_places,competition_ratio_commercial,no_commercial_places,n_p1_budget,desirability,low_data
36704622200,Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде,НИУ ВШЭ - Санкт-Петербург,0,0,17,15,17,17,0,50,,,True,0.34,False,,,
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,36,24,12,11,39,48,20,15,1.8,1.2,False,0.8,False,16,0.4308397411778782,False
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,12,7,5,4,12,17,7,10,1.7142857142857142,1.0,False,0.5,False,6,0.4464854091578893,False
36704623157,Проектирование и разработка высоконагруженных информационных систем,НИУ ВШЭ - Санкт-Петербург,0,0,10,8,10,10,0,20,,,True,0.5,False,,,
36704696181,Иностранные языки и межкультурная коммуникация,Москва,52,36,14,11,54,66,25,15,2.08,1.44,False,0.9333333333333333,False,26,0.48115573693065655,False
36913199560,Мода,Москва,0,0,6,5,6,6,0,50,,,True,0.12,False,,,
36922870902,Искусственный интеллект и продуктовый подход в HR-менеджменте,Москва,0,0,20,11,20,20,0,40,,,True,0.5,False,,,
36923571101,Нейробиология,Москва,26,18,9,9,28,35,15,5,1.7333333333333334,1.2,False,1.8,False,11,0.4114893885078975,False
36923606680,Информационная безопасность систем искусственного интеллекта,Москва,0,0,58,47,58,58,0,50,,,True,1.16,False,,,
36923619805,Цифровой инжиниринг в телекоммуникациях,Москва,16,3,0,0,16,16,15,10,1.0666666666666667,0.2,False,0.0,False,2,0.22171082143878884,False
36923650437,Цифровые технологии в гуманитарных исследованиях,Москва,33,21,7,4,33,40,20,20,1.65,1.05,False,0.35,False,11,0.3440969542952983,False
36923667513,Археологические исследования,Москва,16,11,3,2,16,19,16,15,1.0,0.6875,False,0.2,False,9,0.4936496367341525,False
36923676128,Исторические исследования,Москва,33,20,10,6,33,43,20,20,1.65,1.0,False,0.5,False,16,0.46108041572440284,False
36936823912,Филологические исследования,Москва,23,19,7,4,23,30,16,14,1.4375,1.1875,False,0.5,False,11,0.4491933371587383,False
36957165108,"Международный спортивный менеджмент, маркетинг и право",Москва,0,0,16,8,16,16,0,,,,True,,True,,,
36960452806,Психологическое сопровождение в сфере управления здоровьем и благополучием,НИУ ВШЭ - Санкт-Петербург,41,32,13,11,44,54,10,13,4.1,3.2,False,1.0,False,29,0.6445876620064597,False
36960454475,Социальное предпринимательство и инновации,НИУ ВШЭ - Санкт-Петербург,18,6,1,1,18,19,10,20,1.8,0.6,False,0.05,False,3,0.24177414516519177,False
36960463781,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,18,9,8,5,18,26,5,5,3.6,1.8,False,1.6,False,6,0.34991699766559853,False
36960475205,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,9,5,6,4,10,15,5,5,1.8,1.0,False,1.2,False,3,0.3578809433846495,True
36962612385,Религиозная дипломатия в многополярном мире,Москва,15,4,8,2,15,23,15,5,1.0,0.26666666666666666,False,1.6,False,1,0.19025346227322576,False
36971513712,Прикладные нейросетевые технологии,Москва,0,0,99,62,99,99,0,200,,,True,0.495,False,,,
36971549759,Умные устройства: аппаратная разработка,Москва,36,20,11,6,37,47,15,10,2.4,1.3333333333333333,False,1.1,False,11,0.3215288215956128,False
36985942928,Пространственные данные и прикладная геоаналитика,Москва,15,13,3,2,15,18,15,10,1.0,0.8666666666666667,False,0.3,False,10,0.5540208642734079,False
37003567710,Доказательное развитие образования,Москва,20,10,5,0,20,25,35,10,0.5714285714285714,0.2857142857142857,False,0.5,False,7,0.36000963586563883,False
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,0,0,63,40,63,63,0,200,,,True,0.315,False,,,
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,0,0,41,25,41,41,0,60,,,True,0.6833333333333333,False,,,
